Total number of words: 2973399
Total number of distinct words: 52488
Popular treshold: 2625
Lower common treshold: 24931
Upper common treshold: 27557
Rare treshold: 49863

Popular words
+---------------+---------+----+
|           Word|Frequency|Rank|
|           late|      328| 815|
|           deal|      327| 816|
|      gentleman|      327| 817|
|    information|      327| 818|
|        justice|      327| 819|
|     wilderness|      327| 820|
|         civill|      326| 821|
|        talking|      326| 822|
|       assembly|      324| 823|
|        minutes|      324| 824|
|       contrary|      323| 825|
|      multitude|      323| 826|
|       subjects|      323| 827|
|     tabernacle|      323| 828|
|          built|      322| 829|
|        sitting|      322| 830|
|         dinner|      321| 831|
|           fred|      321| 832|
|         giving|      321| 833|
|          queen|      321| 834|
|          sweet|      321| 835|
|      daughters|      320| 836|
|          fight|      320| 837|
|        forward|      320| 838|
|         anyone|      319| 839|
|         helmer|      319| 840|
|           kill|      319| 841|
|       happened|      318| 842|
|           rise|      318| 843|
|         wisdom|      318| 844|
|           easy|      317| 845|
|        therein|      317| 846|
|          north|      316| 847|
|        mothers|      315| 848|
|          anger|      314| 849|
|        scrooge|      314| 850|
|          write|      314| 851|
|           deep|      313| 852|
|         chance|      312| 853|
|          ebook|      312| 854|
|          eight|      312| 855|
|         talked|      311| 856|
|          break|      310| 857|
|      wherefore|      310| 858|
|           duty|      309| 859|
|         french|      309| 860|
|          liked|      309| 861|
|         nation|      309| 862|
|          piece|      309| 863|
|       presence|      309| 864|
|      christian|      307| 865|
|          hosts|      307| 866|
|        history|      306| 867|
|         school|      306| 868|
|         trying|      306| 869|
|           cold|      305| 870|
|        solomon|      305| 871|
|           grew|      304| 872|
|        instead|      304| 873|
|        quickly|      304| 874|
|            red|      304| 875|
|           seed|      304| 876|
|         doctor|      303| 877|
|          heavy|      303| 878|
|        provide|      303| 879|
|         slowly|      303| 880|
|          mount|      302| 881|
|          doubt|      301| 882|
|     possession|      301| 883|
|           shut|      301| 884|
|      character|      300| 885|
|      continued|      300| 886|
|        covered|      300| 887|
|         easily|      300| 888|
|           huck|      300| 889|
|          trust|      299| 890|
|         access|      298| 891|
|           hall|      298| 892|
|        besides|      297| 893|
|          clean|      297| 894|
|         future|      297| 895|
