Total number of words: 2103361
Total number of distinct words: 43654
Popular treshold: 2183
Lower common treshold: 20735
Upper common treshold: 22919
Rare treshold: 41471

Popular words
+--------------+---------+----+
|          Word|Frequency|Rank|
|       written|      242| 840|
|     attention|      241| 841|
|         edgar|      241| 842|
|          ones|      241| 843|
|        public|      241| 844|
|         begin|      240| 845|
|      presence|      240| 846|
|          wait|      240| 847|
|          evil|      239| 848|
|          fast|      239| 849|
|        bloody|      238| 850|
|       passion|      238| 851|
|      syracuse|      238| 852|
|          maid|      237| 853|
|         mercy|      237| 854|
|         canst|      236| 855|
|       content|      236| 856|
|    impossible|      236| 857|
|       estella|      234| 858|
|      feelings|      234| 859|
|           red|      234| 860|
|        tender|      234| 861|
|           iii|      233| 862|
|       receive|      233| 863|
|      straight|      233| 864|
|       beseech|      232| 865|
|        effect|      232| 866|
|        emilia|      232| 867|
|          lear|      232| 868|
|        proper|      232| 869|
|          ring|      232| 870|
|      thinking|      232| 871|
|         truly|      232| 872|
|          ways|      232| 873|
|       cassius|      231| 874|
|       several|      231| 875|
|        doctor|      230| 876|
|           hot|      230| 877|
|        secret|      230| 878|
|     valentine|      230| 879|
|         biddy|      229| 880|
|       captain|      229| 881|
|         spite|      229| 882|
|        afraid|      228| 883|
|      dashwood|      228| 884|
|         didst|      228| 885|
|          shes|      228| 886|
|          suit|      228| 887|
|         meant|      227| 888|
|          sons|      227| 889|
|       turning|      227| 890|
|         clear|      226| 891|
|  conversation|      226| 892|
|       english|      226| 893|
|         judge|      226| 894|
|     desdemona|      225| 895|
|           sin|      225| 896|
|      gracious|      224| 897|
|        pocket|      224| 898|
|          sick|      224| 899|
|     christian|      223| 900|
|        dromio|      223| 901|
|           six|      223| 902|
|      speaking|      223| 903|
|          grey|      222| 904|
|      observed|      222| 905|
|         takes|      222| 906|
|            ha|      221| 907|
|          pale|      221| 908|
|       chamber|      220| 909|
|         parts|      220| 910|
|     satisfied|      220| 911|
|         added|      219| 912|
|    antipholus|      219| 913|
|     beginning|      219| 914|
|         frank|      219| 915|
|         offer|      219| 916|
|       proteus|      219| 917|
|      whatever|      219| 918|
|         flame|      218| 919|
|       palamon|      218| 920|
|     exclaimed|      217| 921|
|        health|      217| 922|
|      consider|      216| 923|
|       feeling|      216| 924|
|        former|      216| 925|
|      greatest|      216| 926|
|     ourselves|      216| 927|
|         paper|      216| 928|
|       pleased|      216| 929|
|           ran|      216| 930|
|        to-day|      216| 931|
|    coriolanus|      215| 932|
|          view|      215| 933|
|         chair|      214| 934|
|           dog|      214| 935|
|     excellent|      214| 936|
|        speech|      214| 937|
|         titus|      214| 938|
|       wherein|      214| 939|
|        behold|      213| 940|
|       knowing|      213| 941|
|         lover|      213| 942|
|          rose|      213| 943|
|         smile|      213| 944|
|         allow|      212| 945|
|        breast|      212| 946|
|      brothers|      212| 947|
|         fresh|      212| 948|
|            ho|      212| 949|
|          stop|      212| 950|
|        strike|      212| 951|
|        wished|      212| 952|
|     according|      211| 953|
|  acquaintance|      211| 954|
|    conscience|      211| 955|
|         taste|      211| 956|
|          weep|      211| 957|
|         yield|      211| 958|
|          died|      210| 959|
|         equal|      210| 960|
|         noise|      210| 961|
