Total number of words: 25253437
Total number of distinct words: 441530
Popular treshold: 22077
Lower common treshold: 209726
Upper common treshold: 231804
Rare treshold: 419453

Popular words
+--------------------+---------+-----+
|                Word|Frequency| Rank|
|             section|     3516|  816|
|             writing|     3516|  817|
|                talk|     3515|  818|
|                unit|     3500|  819|
|             studies|     3490|  820|
|             leading|     3489|  821|
|              things|     3487|  822|
|             success|     3480|  823|
|             library|     3479|  824|
|           classical|     3475|  825|
|               green|     3473|  826|
|               lines|     3468|  827|
|                 etc|     3463|  828|
|               spain|     3461|  829|
|              longer|     3454|  830|
|                give|     3453|  831|
|               start|     3452|  832|
|             remains|     3448|  833|
|              killed|     3440|  834|
|             element|     3439|  835|
|             episode|     3438|  836|
|                rome|     3437|  837|
|             already|     3435|  838|
|             private|     3430|  839|
|               louis|     3429|  840|
|               makes|     3426|  841|
|                gave|     3420|  842|
|             musical|     3418|  843|
|              status|     3418|  844|
|            probably|     3415|  845|
|           authority|     3410|  846|
|             working|     3401|  847|
|              health|     3394|  848|
|              square|     3394|  849|
|            appeared|     3393|  850|
|               moved|     3393|  851|
|              object|     3388|  852|
|            chemical|     3383|  853|
|                 say|     3372|  854|
|            division|     3357|  855|
|                 oil|     3351|  856|
|                fire|     3349|  857|
|          washington|     3348|  858|
|               award|     3346|  859|
|             machine|     3344|  860|
|             largely|     3341|  861|
|            interest|     3338|  862|
|                 sun|     3334|  863|
|             perhaps|     3331|  864|
|               claim|     3326|  865|
|            baseball|     3324|  866|
|             effects|     3321|  867|
|                 big|     3307|  868|
|                  tr|     3305|  869|
|            contains|     3302|  870|
|            separate|     3302|  871|
|            products|     3301|  872|
|             results|     3292|  873|
|             attempt|     3291|  874|
|                 usa|     3291|  875|
|              enough|     3286|  876|
|           territory|     3286|  877|
|               coast|     3283|  878|
|            directly|     3282|  879|
|              treaty|     3276|  880|
|                bill|     3273|  881|
|                blue|     3268|  882|
|               refer|     3268|  883|
|          successful|     3267|  884|
|                race|     3266|  885|
|             produce|     3264|  886|
|             stories|     3258|  887|
|           knowledge|     3255|  888|
|                 saw|     3254|  889|
|          commercial|     3250|  890|
|               front|     3248|  891|
|                ones|     3246|  892|
|                cell|     3244|  893|
|                 gas|     3243|  894|
|              singer|     3241|  895|
|             surface|     3236|  896|
|              caused|     3234|  897|
|                done|     3233|  898|
|           companies|     3230|  899|
|            remained|     3230|  900|
|              claims|     3223|  901|
|                mark|     3219|  902|
|               whole|     3218|  903|
|                  ed|     3217|  904|
|            students|     3214|  905|
|              matter|     3207|  906|
|            provided|     3207|  907|
|               table|     3202|  908|
|               metal|     3200|  909|
|                asia|     3194|  910|
|              letter|     3194|  911|
|            property|     3194|  912|
|              native|     3193|  913|
|             primary|     3185|  914|
|               exist|     3183|  915|
|                wide|     3182|  916|
|              amount|     3181|  917|
|              likely|     3181|  918|
|           difficult|     3176|  919|
|               seven|     3176|  920|
|                lake|     3174|  921|
|                 asp|     3173|  922|
|              border|     3171|  923|
|            replaced|     3165|  924|
|              female|     3164|  925|
|                hall|     3163|  926|
|                ball|     3159|  927|
|          definition|     3152|  928|
|              highly|     3149|  929|
|             physics|     3147|  930|
|              direct|     3145|  931|
|              length|     3138|  932|
|                 von|     3134|  933|
|               allow|     3132|  934|
|              origin|     3130|  935|
|                  lt|     3129|  936|
|              entire|     3120|  937|
|             becomes|     3119|  938|
|             smaller|     3118|  939|
|                  hu|     3112|  940|
|              issues|     3112|  941|
|             average|     3111|  942|
|               birth|     3106|  943|
|                 map|     3106|  944|
|               super|     3106|  945|
|                   o|     3098|  946|
|               shows|     3097|  947|
|               issue|     3090|  948|
|          revolution|     3090|  949|
|             britain|     3089|  950|
|                lord|     3089|  951|
|               basis|     3084|  952|
|               board|     3081|  953|
|            magazine|     3079|  954|
|                sent|     3078|  955|
|            programs|     3077|  956|
|               chief|     3075|  957|
|             records|     3074|  958|
|               night|     3073|  959|
|             towards|     3072|  960|
|              course|     3066|  961|
|            cultural|     3066|  962|
|            increase|     3066|  963|
|                moon|     3064|  964|
|             changed|     3061|  965|
|             claimed|     3060|  966|
|             finally|     3057|  967|
|                  sl|     3057|  968|
|              access|     3056|  969|
|                jews|     3054|  970|
|                dead|     3047|  971|
|           operating|     3045|  972|
|               money|     3037|  973|
|              nearly|     3036|  974|
|              mother|     3027|  975|
|                move|     3027|  976|
|            involved|     3026|  977|
|            assembly|     3025|  978|
|                whom|     3025|  979|
|          collection|     3018|  980|
|              police|     3018|  981|
|             digital|     3009|  982|
|              reason|     3006|  983|
|           institute|     3005|  984|
|              engine|     3004|  985|
|             sources|     2999|  986|
|                wife|     2998|  987|
|            recently|     2996|  988|
|           elections|     2995|  989|
|             product|     2994|  990|
|              create|     2988|  991|
|             actress|     2983|  992|
|             schools|     2983|  993|
|             medical|     2981|  994|
|                  el|     2979|  995|
|                navy|     2975|  996|
|           alexander|     2972|  997|
|                  vi|     2971|  998|
|            analysis|     2970|  999|
|              museum|     2970| 1000|
|              worlds|     2968| 1001|
|                test|     2967| 1002|
|              memory|     2965| 1003|
|           tradition|     2958| 1004|
|             divided|     2956| 1005|
|           increased|     2956| 1006|
|                  me|     2952| 1007|
|                turn|     2947| 1008|
|                 era|     2942| 1009|
|                rest|     2939| 1010|
|            pressure|     2934| 1011|
|                 net|     2930| 1012|
|              sexual|     2928| 1013|
|             variety|     2927| 1014|
|              appear|     2921| 1015|
|                club|     2921| 1016|
|                   y|     2916| 1017|
|          relatively|     2911| 1018|
|               units|     2905| 1019|
|                ship|     2902| 1020|
|               event|     2896| 1021|
|             station|     2894| 1022|
|                call|     2893| 1023|
|            returned|     2893| 1024|
|               smith|     2889| 1025|
|            starting|     2886| 1026|
|               takes|     2886| 1027|
|              served|     2883| 1028|
|             regions|     2882| 1029|
|         engineering|     2875| 1030|
|        relationship|     2875| 1031|
|                  th|     2875| 1032|
|             methods|     2874| 1033|
|               nobel|     2866| 1034|
|              active|     2865| 1035|
|                bank|     2865| 1036|
|           functions|     2865| 1037|
|            previous|     2864| 1038|
|        presidential|     2859| 1039|
|             regular|     2858| 1040|
|            universe|     2857| 1041|
|                  bg|     2856| 1042|
|          frequently|     2855| 1043|
|            province|     2854| 1044|
|              street|     2853| 1045|
|         performance|     2851| 1046|
|        construction|     2848| 1047|
|            director|     2848| 1048|
|             appears|     2847| 1049|
|              except|     2839| 1050|
|                read|     2838| 1051|
|               paris|     2833| 1052|
|               clear|     2831| 1053|
|             supreme|     2831| 1054|
|              degree|     2827| 1055|
|               shown|     2823| 1056|
|             objects|     2822| 1057|
|              joseph|     2818| 1058|
|               minor|     2818| 1059|
|           existence|     2815| 1060|
|             running|     2814| 1061|
|              summer|     2814| 1062|
|               ocean|     2805| 1063|
|             defense|     2799| 1064|
|             notable|     2799| 1065|
