Total number of words: 2960482
Total number of distinct words: 68360
Popular treshold: 3418
Lower common treshold: 32471
Upper common treshold: 35889
Rare treshold: 64942

Popular words
+---------------+---------+----+
|           Word|Frequency|Rank|
|         wonder|      465| 602|
|         powers|      464| 603|
|        service|      464| 604|
|        married|      462| 605|
|          kings|      461| 606|
|         living|      461| 607|
|        welcome|      457| 608|
|           boys|      454| 609|
|            cry|      453| 610|
|           pass|      452| 611|
|         unless|      451| 612|
|          lives|      449| 613|
|          mouth|      448| 614|
|         saying|      448| 615|
|         virtue|      447| 616|
|           send|      446| 617|
|     foundation|      445| 618|
|            sit|      445| 619|
|         beyond|      444| 620|
|         during|      443| 621|
|       strength|      443| 622|
|          alice|      441| 623|
|        charles|      441| 624|
|        besides|      440| 625|
|            arm|      439| 626|
|           fine|      439| 627|
|          worth|      439| 628|
|         charge|      437| 629|
|      gentlemen|      437| 630|
|         school|      437| 631|
|         longer|      436| 632|
|          thank|      436| 633|
|            low|      435| 634|
|      political|      435| 635|
|     electronic|      434| 636|
|           ahab|      433| 637|
|           laid|      432| 638|
|           lips|      432| 639|
|          fight|      431| 640|
|      necessary|      431| 641|
|           foot|      430| 642|
|           news|      430| 643|
|           died|      429| 644|
|         became|      428| 645|
|           dont|      428| 646|
|        forward|      428| 647|
|             oh|      428| 648|
|     understand|      427| 649|
|           save|      426| 650|
|       received|      425| 651|
|          shame|      425| 652|
|         silver|      425| 653|
|          sword|      425| 654|
|         breath|      423| 655|
|           rich|      423| 656|
|         honest|      422| 657|
|      influence|      421| 658|
|        quickly|      421| 659|
|          royal|      419| 660|
|       farewell|      418| 661|
|          later|      418| 662|
|             de|      417| 663|
|           mark|      417| 664|
|           draw|      415| 665|
|        feeling|      415| 666|
|            red|      415| 667|
|        respect|      414| 668|
|         london|      413| 669|
|       marriage|      413| 670|
|         sister|      413| 671|
|        warwick|      413| 672|
|          clear|      412| 673|
|        letters|      411| 674|
|          doing|      410| 675|
|          wrote|      410| 676|
|        citizen|      408| 677|
|         danger|      408| 678|
|            pay|      408| 679|
|          bound|      407| 680|
|          looks|      407| 681|
|         speech|      407| 682|
|          heavy|      406| 683|
|           line|      406| 684|
|      beautiful|      405| 685|
|       citizens|      405| 686|
|           goes|      405| 687|
|          paper|      405| 688|
|       followed|      404| 689|
|           real|      404| 690|
|            bid|      403| 691|
|       pictures|      403| 692|
|          truly|      402| 693|
|          break|      400| 694|
|          loves|      400| 695|
|          prove|      400| 696|
|         single|      400| 697|
|         whales|      399| 698|
|          early|      397| 699|
|            mad|      396| 700|
|      messenger|      396| 701|
|          worse|      396| 702|
|         appear|      394| 703|
|           lies|      394| 704|
|            dog|      393| 705|
|          paris|      392| 706|
|           seek|      391| 707|
